Gate Type,Fan-In,Fan-Out,Total Gate Count,Critical Path,Logic Depth
OR,5,4,23592,8,6
AND,4,4,23304,8,5
AND,1,1,15462,10,6
AND,5,4,15359,9,4
XOR,5,3,24300,9,5
AND,2,2,22563,9,8
NOT,5,1,21906,9,7
OR,4,3,20300,9,5
NAND,2,1,24862,10,5
AND,5,2,18713,10,7
AND,5,3,21568,7,8
NOT,5,4,21634,10,4
AND,3,2,22368,8,3
AND,2,3,18439,9,6
AND,3,2,15864,6,3
AND,1,1,18189,7,6
AND,4,3,21787,10,8
OR,3,1,17097,7,5
XOR,5,3,15938,8,6
NOT,3,1,18464,10,7
NAND,1,3,19315,5,6
NAND,1,1,17043,10,5
NOT,3,2,19298,10,8
XOR,2,2,24489,6,9
NOT,5,3,24360,5,7
NAND,3,1,16067,5,9
XOR,3,1,17248,8,6
NAND,2,1,16762,7,3
XOR,4,1,18613,5,6
NOT,5,4,21999,5,6
NAND,1,3,21439,9,3
NAND,3,1,17324,6,4
NOT,4,1,24069,7,3
XOR,5,2,18826,10,8
NAND,5,1,22300,6,4
NOT,3,4,23108,7,9
AND,3,4,20257,10,3
OR,5,2,21228,6,4
AND,2,1,22520,7,4
NOT,2,4,21029,7,9
NOT,4,2,22493,5,3
XOR,5,3,22176,10,3
NOT,1,3,19044,9,7
NOT,4,3,19596,10,5
OR,5,2,20922,8,6
XOR,3,1,19910,7,7
NAND,5,2,15998,5,6
OR,3,3,24833,9,4
XOR,3,4,23363,7,8
NAND,1,2,23982,7,7
AND,3,2,24622,5,6
OR,3,2,16561,5,9
XOR,5,2,22027,5,5
OR,4,1,19938,5,6
NOT,3,2,15313,5,3
XOR,2,1,16477,9,4
OR,5,1,15730,5,4
NOT,3,2,22569,8,3
OR,4,1,22802,9,3
XOR,5,4,23691,8,9
OR,2,3,16153,8,3
NOT,2,1,23212,9,4
NAND,1,3,15008,10,7
OR,3,2,24479,10,4
NOT,4,3,15401,6,8
OR,5,2,20590,10,9
AND,3,4,21727,5,3
XOR,1,2,23151,5,5
NOT,5,2,16072,10,4
XOR,5,4,21476,9,7
AND,3,3,17585,10,9
AND,4,2,15035,6,8
NOT,3,1,16522,10,9
OR,3,2,17170,6,6
XOR,1,4,19426,10,9
AND,2,3,24024,9,5
NAND,2,1,19105,10,6
AND,5,2,16315,8,7
AND,4,1,18909,7,7
AND,2,4,15663,7,4
NOT,5,3,16274,8,3
AND,2,1,24007,10,3
NAND,2,1,17795,9,9
NAND,5,1,15409,10,8
XOR,2,1,23696,9,6
NAND,5,4,16135,8,3
NOT,5,4,18049,10,3
OR,5,1,16104,9,6
OR,2,3,24032,10,3
XOR,4,2,17179,5,3
NAND,1,3,17016,5,3
AND,1,1,16731,6,8
AND,5,2,19652,10,6
NOT,1,4,17539,9,4
XOR,4,2,19358,9,7
NAND,4,3,24109,9,5
NOT,5,4,17604,8,3
NOT,4,2,21396,8,8
NOT,2,1,24731,8,5
NAND,3,1,16822,10,3
AND,1,3,24774,10,5
OR,4,2,19466,7,5
XOR,1,3,16475,5,6
NAND,5,3,19108,6,4
XOR,4,2,23056,8,3
NAND,2,1,17758,10,8
OR,1,4,22102,5,9
NOT,3,4,16042,9,8
OR,3,3,16036,9,3
NAND,3,3,19494,8,5
NOT,2,2,19165,9,9
XOR,2,3,16467,9,8
OR,3,4,20474,8,6
XOR,1,3,17342,9,4
AND,5,4,19038,6,5
AND,2,3,17877,6,6
OR,3,2,16529,9,8
NOT,5,3,22991,9,8
XOR,1,4,18080,8,6
NOT,4,4,22588,10,3
XOR,5,4,19659,5,7
OR,1,1,17304,8,7
NAND,1,4,15189,5,4
OR,3,2,21334,7,6
NOT,4,4,17015,6,6
NAND,1,4,18628,6,7
AND,2,2,22007,9,5
XOR,3,4,22255,5,9
NAND,2,2,17553,6,4
AND,4,2,17213,8,8
OR,5,3,18143,6,4
AND,3,1,17587,10,6
NOT,4,2,21643,6,7
OR,3,2,23909,9,9
AND,2,3,23313,8,3
OR,1,4,18307,10,4
XOR,4,2,22233,5,5
AND,3,1,22683,9,4
NAND,2,3,18942,7,5
NOT,4,3,16513,5,6
OR,4,1,20001,8,7
XOR,5,3,23767,6,8
NOT,3,4,23255,10,5
OR,2,2,18565,6,9
NOT,1,1,24252,9,5
XOR,2,4,23238,5,8
NOT,4,4,19598,9,5
OR,5,1,23030,7,4
XOR,2,4,16057,6,5
XOR,3,3,21441,6,3
OR,1,2,24793,7,9
NAND,3,1,15539,8,6
NOT,2,4,24505,6,4
AND,2,3,24471,6,5
OR,4,2,17825,10,5
AND,1,2,21395,6,4
NAND,2,3,23112,9,6
OR,4,3,20535,6,3
NAND,3,4,20179,8,5
NAND,5,2,23683,8,5
NAND,4,4,24894,7,6
AND,3,1,24730,10,4
NAND,2,2,15799,5,3
AND,5,2,18692,8,9
XOR,2,2,17564,10,9
NOT,1,2,18273,8,3
OR,2,3,18785,7,3
OR,4,4,15725,10,8
OR,5,3,17624,8,6
XOR,4,3,23514,6,6
NOT,1,1,15930,7,8
AND,2,3,23847,9,9
NAND,2,1,17909,9,3
OR,5,3,19521,10,6
NOT,3,3,24381,5,8
NOT,1,2,22047,9,4
AND,1,4,19090,7,6
NAND,1,2,18670,6,7
NAND,2,2,17518,10,4
NOT,1,3,24832,10,5
NAND,3,4,20751,7,8
OR,3,3,20510,6,9
XOR,1,3,24522,9,4
OR,4,2,22976,8,9
NAND,1,3,20779,10,6
NAND,2,4,20219,10,6
XOR,1,1,19925,8,7
XOR,4,1,19814,8,4
NOT,2,2,16563,5,4
NAND,1,4,23153,5,8
AND,5,4,19406,8,3
AND,1,3,19608,6,8
XOR,5,4,18479,7,5
XOR,4,2,16172,8,8
XOR,1,2,19382,7,7
XOR,5,1,20431,6,7
NAND,3,2,23374,9,7
OR,2,1,20495,6,8
NOT,5,3,21749,9,4
AND,3,2,24294,6,6
AND,4,1,23213,9,9
OR,3,3,20281,7,9
NAND,5,3,16552,8,7
AND,5,2,23179,5,8
AND,2,2,21063,5,7
XOR,4,2,19658,5,3
OR,2,4,23987,5,6
OR,2,2,17114,7,4
NAND,4,1,19871,10,5
AND,5,4,20270,7,7
AND,1,4,21084,10,8
NOT,2,2,18600,6,4
XOR,1,2,16803,7,8
OR,1,2,23742,7,7
OR,2,3,19408,7,8
OR,1,3,22894,10,9
AND,4,3,22553,8,8
AND,5,4,16739,10,4
NAND,1,1,15328,7,3
OR,5,2,18366,7,4
NOT,3,4,21804,6,3
AND,1,1,17400,9,9
OR,3,1,19171,7,5
NAND,3,1,20809,5,7
OR,4,3,24809,7,3
XOR,2,1,22268,8,9
OR,3,1,24165,8,7
NAND,4,4,22888,9,9
AND,2,1,20426,10,6
NOT,3,2,16962,6,4
XOR,5,3,19554,10,4
NAND,5,1,16652,10,5
AND,3,1,16231,5,6
AND,2,1,16025,5,3
AND,2,2,15333,5,6
NAND,4,4,18038,8,9
NOT,1,3,21576,6,5
NOT,1,4,16771,10,8
XOR,5,2,19627,9,7
NAND,3,3,22669,7,8
NAND,1,1,21636,6,3
OR,4,1,24394,6,9
NAND,1,3,19557,6,7
NAND,5,2,24885,6,8
OR,1,1,18979,7,5
OR,2,1,18115,7,7
NOT,1,1,23899,9,7
NOT,3,4,16373,9,3
XOR,2,4,20864,5,9
XOR,1,3,22608,10,3
OR,3,4,18452,8,9
XOR,2,2,23782,10,4
XOR,5,4,17986,5,8
OR,4,1,17488,8,4
NOT,3,2,15181,9,5
NOT,4,1,16336,9,6
XOR,2,3,24338,8,4
NAND,2,1,22004,9,4
AND,3,3,22738,6,6
NOT,5,3,21509,9,6
NOT,5,3,17721,7,9
OR,2,2,22256,6,5
OR,1,4,21559,6,9
OR,1,2,21255,5,9
AND,5,3,17907,6,6
OR,1,4,21733,8,9
NAND,4,1,16578,9,6
NAND,1,4,18773,8,7
OR,5,3,18508,9,4
AND,3,4,21200,5,6
NAND,1,4,22449,10,4
AND,3,1,15396,10,5
NOT,4,2,19994,6,4
NAND,3,2,23825,10,4
AND,5,3,22396,8,4
XOR,5,1,21720,9,4
AND,3,1,20440,9,6
XOR,1,2,15901,10,5
OR,5,2,17185,5,4
AND,5,1,18406,5,4
NAND,1,2,23857,10,7
OR,5,1,18261,5,8
XOR,2,1,18618,8,3
NAND,3,4,24300,6,3
OR,2,4,19761,10,8
XOR,4,3,16918,10,9
XOR,4,2,15746,10,4
NOT,3,3,17563,9,4
OR,5,1,23481,8,5
XOR,1,4,18586,5,5
NAND,1,4,19090,7,3
NAND,5,3,18767,10,7
NAND,5,2,24936,8,4
OR,3,1,17839,8,5
NOT,5,3,17066,6,5
OR,2,1,20586,9,6
OR,1,1,24821,8,8
NAND,5,3,16158,10,5
NAND,2,3,24887,5,6
OR,2,1,16901,10,5
AND,3,1,17984,5,8
NOT,4,1,23180,6,3
NOT,1,1,19827,9,3
NAND,5,1,17946,7,5
NAND,5,2,22291,6,9
XOR,3,3,22102,5,4
OR,4,2,17029,10,3
XOR,3,4,19460,8,7
OR,3,3,20074,10,4
OR,1,1,15939,6,6
NOT,4,1,21177,5,8
XOR,5,4,20470,9,8
NOT,1,3,23476,6,6
OR,5,1,17268,9,6
XOR,3,3,21558,10,6
NAND,5,1,21687,6,6
NAND,2,4,22456,5,9
OR,5,1,16004,6,4
XOR,1,1,24718,8,5
NAND,5,1,20392,10,3
NOT,1,2,15997,6,6
XOR,3,3,21138,6,5
OR,4,3,24216,10,3
XOR,2,2,19645,6,4
NAND,5,1,23453,7,4
AND,3,1,17767,7,9
NAND,1,1,15828,7,7
NOT,3,1,20006,8,3
AND,4,2,22095,10,9
AND,5,4,16727,10,9
XOR,4,2,15121,6,4
XOR,5,2,16262,7,3
OR,4,4,20329,10,8
XOR,1,1,24381,9,3
AND,5,2,19394,6,7
AND,2,2,16071,8,9
XOR,5,3,23762,10,4
XOR,2,1,22150,5,8
OR,2,1,19668,7,4
NAND,2,3,15987,10,5
NAND,1,1,19114,8,3
AND,2,1,24610,5,5
NOT,5,3,15704,10,7
XOR,5,4,20051,10,4
XOR,1,4,18687,10,6
AND,1,2,15938,9,6
NOT,1,2,18919,6,7
AND,4,2,22805,8,3
AND,1,4,24313,9,8
NOT,1,1,20499,9,7
OR,3,2,16789,7,8
NAND,4,3,18282,7,3
AND,2,1,17325,9,7
NAND,5,3,24389,9,8
XOR,4,4,24061,6,6
NOT,3,3,19449,10,5
XOR,2,3,21400,8,9
XOR,1,1,19840,10,5
NOT,1,4,24324,5,4
NOT,3,2,16321,6,9
OR,5,2,21742,7,4
AND,5,4,21450,10,9
XOR,1,3,17645,10,9
OR,4,1,23227,7,8
NAND,2,4,24351,10,4
AND,3,1,23866,8,8
XOR,2,4,22225,6,6
AND,5,3,23470,5,5
NOT,1,2,24959,7,9
OR,1,3,23580,5,6
NAND,1,3,18514,7,6
NOT,2,1,21239,9,6
XOR,5,3,17018,6,9
NOT,3,2,21304,10,3
NAND,4,2,22926,10,9
NAND,4,4,18175,5,6
XOR,4,4,15255,10,7
NAND,1,4,18507,10,6
NAND,3,4,22112,10,4
AND,4,1,17295,9,9
AND,5,3,18870,8,6
NOT,5,4,23075,9,9
NAND,2,2,19842,10,4
NOT,4,3,16858,6,7
OR,1,1,23849,6,9
NAND,2,2,20398,9,6
NAND,4,4,15453,6,3
NOT,4,3,19021,9,9
XOR,2,4,20204,10,7
AND,4,4,22074,9,7
NAND,5,2,20004,6,9
NOT,5,1,18543,8,8
AND,2,3,22161,9,6
XOR,2,3,23364,10,3
XOR,4,3,16773,10,4
OR,3,4,21341,7,7
NOT,3,4,24810,8,5
AND,5,1,18100,7,3
NOT,2,1,16211,5,8
NAND,1,3,17673,6,4
XOR,4,4,18059,7,5
NOT,2,1,22613,5,7
NAND,2,4,23665,9,7
OR,2,4,24723,9,5
NOT,2,4,15329,8,7
AND,1,4,20795,5,4
OR,2,1,24462,7,3
NAND,3,4,17141,6,7
NOT,4,4,21502,5,8
NOT,4,4,20886,9,7
NOT,3,3,20918,10,4
AND,1,3,23167,7,6
AND,1,2,16420,7,6
AND,3,1,19133,10,9
AND,4,2,22835,10,9
NOT,1,4,20060,10,3
AND,5,2,19327,10,7
AND,4,2,15300,9,4
NOT,4,3,18744,9,6
OR,4,3,24478,5,8
XOR,1,4,19375,10,3
AND,4,2,16985,9,6
NAND,2,1,20310,9,5
XOR,2,2,16746,6,3
AND,1,2,24471,5,5
OR,5,4,16491,9,4
NOT,3,2,19863,8,6
XOR,5,1,18083,6,3
OR,1,1,24041,10,3
XOR,1,4,15006,5,8
AND,5,3,24097,5,8
AND,2,3,21591,5,4
NAND,5,4,20233,7,8
XOR,4,3,20071,7,9
NOT,4,4,17671,7,4
OR,4,2,18289,10,4
XOR,3,4,24973,6,4
AND,1,4,21933,10,8
NOT,5,1,20173,8,6
NAND,3,1,23177,7,4
XOR,5,1,16244,9,9
AND,3,3,19004,5,7
NOT,4,1,24855,7,5
NAND,5,1,16048,8,8
NOT,2,2,21882,6,8
OR,2,3,17156,9,8
AND,1,3,18344,6,6
XOR,5,1,20190,8,4
XOR,4,3,21837,10,8
OR,1,2,15475,5,8
AND,5,2,16297,8,6
AND,4,4,24328,9,7
OR,5,3,16260,8,3
NOT,2,1,17821,7,9
XOR,1,4,19134,8,4
OR,3,2,15870,8,3
OR,4,2,20105,6,3
OR,1,3,17050,10,3
NAND,4,3,18509,10,9
NOT,2,3,17258,7,6
OR,2,2,19856,5,4
AND,2,3,18953,9,9
NAND,2,1,20245,10,3
AND,1,3,19676,5,7
XOR,2,3,15702,10,9
NAND,5,3,18170,9,5
AND,2,3,16984,10,6
NAND,5,2,16249,8,4
XOR,5,1,20909,7,6
AND,3,1,18502,9,7
AND,5,2,22675,5,3
OR,1,2,22023,9,4
NAND,2,2,17595,7,4
XOR,5,3,18862,9,8
OR,1,1,15108,8,5
NOT,4,3,20338,9,6
NOT,2,4,22942,9,4
NAND,1,3,23843,6,4
NAND,4,4,18017,7,4
AND,4,1,24992,5,8
XOR,5,1,20960,7,3
NAND,5,4,19655,9,5
NOT,4,4,18636,8,4
AND,3,3,21282,9,7
NOT,4,3,22873,6,4
OR,3,3,19276,9,3
NOT,1,2,17567,5,4
XOR,3,2,23771,9,3
NAND,2,4,19205,8,7
NAND,5,3,19475,8,5
NAND,5,1,24578,5,3
OR,3,2,15996,5,9
AND,3,2,24609,6,6
AND,3,3,15043,5,4
XOR,4,1,19421,6,3
NAND,1,2,24867,10,8
NAND,1,1,17447,10,7
NAND,3,4,16202,7,3
OR,5,2,16930,6,4
NOT,2,4,15008,8,4
OR,3,3,23063,10,8
AND,1,3,17387,9,6
XOR,5,3,20579,5,6
NAND,1,3,18718,9,8
NAND,3,3,20474,9,8
AND,2,1,19307,5,8
NOT,4,4,16616,8,6
XOR,3,4,24284,7,4
AND,3,4,19959,10,5
XOR,2,2,17659,5,8
XOR,2,4,19892,5,6
AND,5,2,20397,9,5
NAND,2,2,17109,9,9
NOT,2,4,24929,6,9
AND,2,1,20484,8,3
NAND,1,4,20505,10,4
NOT,4,1,16136,9,8
AND,3,1,23888,10,3
NAND,4,2,17646,7,7
NOT,5,3,20606,5,3
AND,2,2,16742,9,8
OR,5,2,24365,8,9
AND,2,3,16074,6,8
XOR,4,4,17972,7,8
NAND,5,4,18606,5,7
NAND,3,3,22464,7,3
NOT,3,4,16470,5,3
OR,3,1,18617,10,8
NOT,3,3,23162,9,5
OR,2,2,21408,7,8
AND,5,3,21555,5,3
XOR,3,4,23942,7,7
AND,3,1,17470,8,6
AND,1,3,15182,7,8
OR,3,3,19576,6,9
AND,2,2,21475,8,4
OR,3,3,17975,6,3
OR,2,4,18734,6,4
OR,2,4,24969,9,4
OR,3,3,16498,7,3
AND,2,2,24435,5,6
AND,4,2,22294,9,8
AND,3,2,16659,5,8
NOT,2,1,21429,6,9
OR,3,4,23202,6,6
AND,4,2,17756,9,9
OR,5,1,16285,9,8
XOR,3,4,15744,10,3
AND,4,2,22268,5,3
NOT,5,1,22547,9,4
NAND,2,2,17337,10,6
XOR,5,1,17446,10,4
OR,3,2,20014,7,6
NOT,1,4,22317,6,5
OR,4,3,22528,10,3
OR,3,1,19156,9,6
AND,3,4,19663,8,9
XOR,1,4,19876,8,5
AND,4,2,18762,10,6
XOR,1,1,18693,6,9
OR,3,4,21920,7,4
OR,3,2,19280,7,6
NOT,2,4,18281,8,6
NOT,2,4,15428,10,9
XOR,1,4,19629,5,5
XOR,1,3,18570,7,4
NAND,5,3,21338,10,6
NAND,2,1,24343,10,6
OR,1,1,24975,8,3
NOT,1,1,23212,9,9
OR,5,3,17858,9,9
OR,1,4,24459,8,8
OR,5,4,16167,6,6
XOR,3,4,24359,5,3
XOR,4,2,22406,9,9
OR,4,4,17521,7,3
XOR,5,1,19911,8,3
OR,4,4,17142,8,5
NOT,1,1,20493,6,8
NAND,4,4,17961,9,3
NOT,2,2,19458,5,6
AND,4,3,23943,9,4
NAND,2,1,18758,10,5
NAND,3,1,20005,8,9
OR,3,1,18677,6,6
XOR,4,4,21964,8,3
AND,4,3,16141,10,4
AND,2,2,24335,10,6
AND,5,4,15419,7,5
OR,1,1,18026,10,7
AND,3,3,19520,7,7
NOT,2,4,15535,10,5
NOT,3,2,23074,6,4
NAND,3,1,16279,5,6
NOT,1,3,17615,5,6
NOT,5,3,20020,5,8
NOT,1,1,23873,10,9
AND,3,4,22106,8,4
OR,1,3,24934,5,5
NOT,1,1,23069,6,9
OR,2,2,21371,10,6
NAND,4,4,22005,10,7
OR,2,1,21540,5,3
AND,2,4,18201,9,6
XOR,4,4,21433,5,4
AND,1,4,17125,10,5
OR,2,2,18983,5,7
NOT,1,2,19226,9,7
NAND,5,2,20565,10,5
AND,4,1,21265,7,8
NOT,1,2,18847,7,6
XOR,1,3,20903,10,8
OR,2,1,24176,7,9
XOR,1,2,16835,9,9
XOR,3,1,18969,6,9
XOR,4,1,22980,6,9
AND,3,3,21156,10,5
NAND,1,1,19321,6,5
AND,1,2,23216,6,4
AND,4,4,19031,10,5
NAND,5,1,19129,5,3
AND,2,2,22403,6,4
NOT,2,2,15945,7,4
OR,4,2,20735,5,6
OR,2,2,21102,7,7
XOR,3,2,17708,5,6
OR,1,4,22161,10,9
OR,4,4,19975,5,3
OR,4,1,15090,10,5
NOT,5,2,15352,9,3
AND,3,4,21898,7,6
NAND,5,4,20416,5,7
NAND,2,4,16038,5,3
AND,4,1,17517,9,9
OR,2,3,21418,9,7
AND,4,3,20531,6,4
NOT,1,3,19760,6,9
NOT,3,4,24509,8,3
XOR,4,3,19218,7,5
NOT,3,2,21629,7,5
NOT,1,2,21849,7,5
OR,3,4,24712,8,4
NAND,2,3,19610,6,9
OR,2,1,22210,9,3
XOR,2,4,21453,6,3
NOT,3,4,19846,8,7
NAND,1,4,17143,6,7
OR,1,1,24643,10,3
AND,4,2,19757,7,9
AND,4,1,15022,5,3
AND,5,3,18091,9,4
AND,2,3,15448,7,7
NAND,5,4,20094,7,5
OR,1,1,23511,5,7
XOR,3,4,18867,6,8
NOT,2,2,23654,5,6
OR,5,1,21153,8,4
XOR,4,1,18087,10,6
NOT,5,2,20199,10,5
NOT,2,4,23702,9,3
XOR,4,4,22196,6,8
NAND,2,2,17538,10,6
AND,1,1,24838,8,3
NOT,4,3,15827,8,4
NAND,3,2,15995,8,8
AND,3,1,16121,10,5
NOT,5,3,16516,8,5
XOR,1,1,18266,10,5
AND,5,3,24764,5,5
NOT,4,1,24944,6,4
NAND,5,1,23841,8,8
OR,5,4,21135,6,5
AND,2,4,24968,10,3
AND,3,1,15856,8,4
OR,2,3,23037,5,7
OR,5,4,17665,10,3
XOR,2,4,23425,10,7
AND,4,4,21350,5,7
NOT,2,1,21943,8,6
AND,5,1,23627,9,6
AND,5,4,19450,8,6
AND,5,1,19562,6,9
XOR,4,4,16187,8,3
NAND,2,2,18099,6,3
XOR,4,1,22040,8,8
NAND,1,4,16108,8,6
NAND,3,2,17431,10,9
AND,1,2,21666,5,5
NOT,1,1,19070,5,8
NOT,4,3,15651,5,7
NAND,4,1,23942,7,9
NOT,2,1,22793,6,7
NOT,5,2,22768,7,3
AND,3,4,23481,10,3
XOR,3,2,24022,10,4
NAND,1,4,18527,8,6
NAND,3,3,17351,7,9
XOR,1,3,17376,6,9
OR,2,3,24867,9,5
XOR,2,2,20170,10,7
AND,3,1,24075,9,6
XOR,2,1,18399,7,7
NOT,4,1,15704,7,3
NAND,2,3,19227,10,3
OR,3,3,21236,10,5
NAND,3,3,19881,6,8
AND,1,1,22646,5,5
OR,5,3,24801,7,4
NOT,2,1,22525,8,8
AND,1,3,24207,8,5
NAND,4,2,15212,9,8
NOT,3,4,17614,9,9
OR,2,2,15273,6,5
NAND,2,4,17212,7,6
OR,1,1,16364,5,4
OR,3,4,15027,6,5
NOT,3,3,23344,9,7
AND,5,1,23568,7,9
NOT,3,1,18090,8,7
XOR,5,3,16717,8,5
XOR,1,4,23907,7,9
OR,4,4,15584,7,6
OR,5,2,23464,5,8
OR,4,2,20524,5,4
NAND,2,2,18411,8,3
AND,3,1,20372,6,7
NOT,5,4,23687,6,9
OR,5,4,18705,10,3
NAND,5,3,17459,6,5
AND,3,3,23739,9,5
OR,2,3,23397,8,5
OR,4,1,18090,9,4
XOR,2,3,21127,5,8
OR,3,4,17427,9,5
NOT,4,2,15407,8,7
XOR,5,1,17348,8,7
NOT,4,4,18405,6,5
NAND,4,4,21004,6,4
AND,1,2,15288,7,6
NAND,2,2,24691,6,7
NAND,1,4,22978,9,8
NAND,5,3,19413,7,6
XOR,3,2,24159,10,5
XOR,4,2,16765,9,4
AND,1,2,16195,8,9
OR,4,2,19926,8,4
AND,5,2,22563,5,6
NAND,5,1,22246,10,8
NAND,1,4,18223,5,8
AND,4,3,17619,7,6
OR,4,3,21651,5,5
OR,2,1,24151,5,4
AND,5,1,20496,6,4
AND,2,4,20038,8,5
OR,5,1,16716,9,4
AND,3,2,21021,6,6
XOR,4,3,18412,7,4
OR,4,4,16424,8,3
OR,5,2,23223,5,9
XOR,3,1,19799,5,3
AND,2,1,16107,5,3
OR,3,1,17604,8,6
NAND,3,2,16534,10,9
XOR,1,2,24015,5,6
AND,4,4,21340,5,8
NAND,3,1,19470,7,4
OR,1,1,23569,8,5
OR,4,1,20422,5,3
AND,5,2,17417,9,9
OR,2,2,15131,10,8
AND,5,3,19960,9,3
XOR,4,4,22196,6,6
NOT,3,4,20653,5,4
XOR,2,3,22593,9,8
AND,4,1,21433,8,8
AND,3,1,22269,9,5
AND,5,4,17750,10,8
XOR,1,1,24818,8,6
NAND,1,4,15131,8,4
OR,2,3,20274,6,8
AND,1,3,17395,6,6
XOR,5,4,18733,10,7
NAND,2,3,16327,5,5
OR,4,3,18540,10,3
NAND,2,1,23687,6,7
NOT,4,1,21219,10,8
XOR,5,4,20754,10,3
NOT,4,3,18924,6,8
XOR,1,3,23753,5,9
AND,1,1,21122,8,8
AND,2,2,21516,5,9
NAND,4,4,16313,5,4
NOT,2,4,21702,6,8
NAND,4,3,17330,10,5
OR,1,4,20815,7,4
NOT,5,4,15117,9,3
AND,1,1,24473,9,3
NAND,1,2,19175,5,6
NOT,4,2,19058,8,7
AND,2,4,21537,5,6
NAND,2,4,19894,6,4
NAND,1,2,19882,8,4
NAND,1,4,15727,10,7
AND,5,1,17493,7,5
OR,5,4,22023,9,7
XOR,3,2,23767,9,8
AND,5,1,18483,7,9
OR,1,2,24370,9,6
XOR,1,2,22172,6,6
XOR,3,2,16940,10,7
NAND,2,2,16844,5,6
OR,4,2,23393,5,9
NAND,4,1,24842,5,9
OR,2,1,23764,9,3
OR,2,2,15098,9,6
NOT,3,3,24998,10,6
NOT,5,3,20131,10,7
OR,2,2,24301,10,6
XOR,5,1,18254,8,7
NAND,1,1,24079,10,5
AND,3,4,23147,6,5
NOT,5,3,20417,8,4
NOT,2,2,22288,7,7
NAND,5,4,16039,8,5
NOT,3,2,21706,7,7
NAND,4,1,18112,10,7
OR,2,4,24783,5,4
NAND,5,3,21174,10,3
XOR,5,4,20186,6,6
OR,4,4,15629,6,7
NOT,4,2,20775,7,4
OR,2,4,15237,10,9
AND,3,4,18101,10,4
AND,5,4,20616,10,6
OR,3,3,15893,10,3
OR,4,4,21697,9,4
AND,5,3,15704,5,7
XOR,2,1,19733,10,3
NOT,2,4,22956,5,8
XOR,4,1,21843,7,3
OR,4,1,15199,10,4
NOT,5,2,17143,6,9
XOR,5,3,18057,8,3
OR,2,2,22634,9,4
NOT,4,1,23103,8,9
XOR,1,2,19570,7,7
OR,3,4,19610,7,5
NOT,5,3,24195,10,5
OR,1,1,21659,9,7
AND,3,1,20647,6,3
OR,2,4,20904,7,8
AND,4,1,18039,10,3
AND,4,3,23133,8,3
NAND,2,4,17081,5,5
XOR,4,4,22624,10,3
OR,2,1,23345,8,3
OR,4,3,21901,10,3
OR,2,1,17035,10,3
XOR,3,2,23747,9,3
NAND,2,4,21902,7,8
NOT,1,2,17271,9,4
NAND,2,2,21959,6,7
AND,5,4,23324,8,4
OR,5,1,21679,8,5
XOR,5,3,17609,5,6
OR,1,1,16631,6,6
OR,1,3,24056,6,7
NOT,2,4,20592,7,4
XOR,2,3,19382,5,4
AND,5,4,15454,5,6
NAND,3,4,15544,5,7
NOT,1,2,15743,5,3
NOT,3,2,24460,5,4
NAND,5,1,18232,6,3
OR,4,3,19044,8,8
AND,5,2,21634,7,9
XOR,2,3,20051,8,8
NAND,1,1,18904,7,5
XOR,2,2,18948,7,8
NAND,5,4,21124,7,5
AND,5,1,21280,8,5
NOT,3,2,16017,7,7
NOT,1,3,15234,8,3
XOR,1,1,15111,9,6
XOR,2,3,23882,8,7
NOT,5,1,22612,6,8
OR,4,3,15832,9,5
AND,3,2,17310,8,5
AND,1,3,22565,8,7
NAND,4,2,21617,7,9
XOR,4,1,22530,5,9
XOR,4,1,21802,9,4
AND,4,3,17660,7,4
NAND,4,3,24163,5,7
AND,1,1,15199,6,8
AND,5,1,23887,9,4
XOR,4,1,24036,9,6
NAND,4,1,24296,10,7
NAND,1,3,15115,9,5
NOT,3,2,17806,8,6
NAND,5,4,18841,7,5
XOR,4,1,18445,8,6
NOT,3,3,22600,6,9
XOR,5,4,20124,5,6
AND,1,3,16863,5,5
NOT,2,3,15096,6,4
NAND,3,1,22090,6,7
XOR,5,2,24659,9,6
NAND,2,4,20867,7,6
OR,5,3,20068,9,5
AND,4,3,24429,9,6
NOT,3,4,19313,8,5
NOT,4,4,20380,5,9
AND,2,3,15312,9,8
AND,1,4,18790,6,8
NOT,3,1,23593,7,5
XOR,1,3,24529,8,8
NAND,1,2,20877,6,5
XOR,3,2,24404,9,5
OR,2,3,19440,5,3
NOT,5,1,15923,5,4
XOR,2,2,15926,9,5
OR,4,2,24709,10,3
AND,1,1,16845,10,4
NOT,2,1,24066,9,4
XOR,5,1,22659,6,4
NOT,3,4,23693,9,7
AND,2,2,15673,9,7
NOT,1,2,20973,9,9
XOR,2,2,16227,10,6
NAND,2,4,15350,9,6
NAND,4,1,20801,5,3
AND,2,4,24634,7,8
NAND,4,2,22892,7,5
OR,3,3,19482,5,5
XOR,3,4,20628,7,6
NAND,2,1,17933,8,3
OR,1,4,21084,8,4
AND,5,2,21661,5,9
NAND,4,3,20112,8,3
NAND,1,3,21843,5,5
OR,1,2,24055,9,8
NAND,4,2,18861,7,8
OR,4,3,20759,8,7
NAND,5,4,24605,9,4
XOR,5,3,21747,10,9
OR,3,3,24749,9,7
OR,2,3,17408,10,6
AND,3,4,16489,5,7
NOT,2,2,24074,7,8
NAND,3,3,15253,8,3
AND,1,2,22139,10,8
OR,4,4,22805,7,7
XOR,4,1,24567,8,9
NAND,1,4,19219,5,9
NAND,3,3,21139,6,5
AND,2,4,22440,5,7
OR,4,1,21518,6,8
